guid,anverso,reverso,etiquetas
qc-purpose,"¿Cual es el proposito principal del <span class=""semantic semantic-qc""><span class=""semantic-label"">Control de calidad</span> control de calidad</span> interno en un laboratorio clinico?",Verificar que el proceso analitico se mantiene estable y confiable antes de liberar resultados de pacientes.,westgard qc laboratorio-clinico educacion fundamentos
control-material-definition,¿Que es un material de control?,"Es una muestra no perteneciente a un paciente, con un comportamiento esperado conocido, utilizada para vigilar el desempeno del metodo.",westgard qc laboratorio-clinico educacion fundamentos
mean-and-sd,"¿Por que la <em>media</em> y la <em>desviacion estandar</em> son importantes en la revision del <span class=""semantic semantic-qc""><span class=""semantic-label"">Control de calidad</span> control de calidad</span>?",La media define el centro esperado y la desviacion estandar describe la dispersion habitual alrededor de ese centro.,westgard qc laboratorio-clinico educacion estadistica
one-two-s-rule,"¿Que significa la regla <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> 1-2s</span>?","Un resultado de control excede la media por mas de 2 DE. Se considera sobre todo una regla de <span class=""semantic semantic-warning""><span class=""semantic-label"">Advertencia</span> advertencia</span> y no una regla automatica de rechazo.",westgard qc laboratorio-clinico educacion reglas-westgard
one-three-s-rule,"¿Que indica la regla <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> 1-3s</span>?","Un resultado de control excede la media por mas de 3 DE, lo que sugiere un problema analitico importante y respalda el <span class=""semantic semantic-rejection""><span class=""semantic-label"">Rechazo</span> rechazo de la ejecucion</span>.",westgard qc laboratorio-clinico educacion reglas-westgard
two-two-s-rule,"¿Como se reconoce la regla <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> 2-2s</span>?","Dos resultados consecutivos exceden el mismo limite de 2 DE en el mismo lado de la media. Esto apoya el <span class=""semantic semantic-rejection""><span class=""semantic-label"">Rechazo</span> rechazo</span> por error sistematico.",westgard qc laboratorio-clinico educacion reglas-westgard
r-four-s-rule,"¿Que patron define la regla <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> R-4s</span>?","Dos resultados de control en la misma ejecucion difieren en mas de 4 DE, lo que orienta a incremento del error aleatorio.",westgard qc laboratorio-clinico educacion reglas-westgard
four-one-s-rule,"¿Que suele sugerir la regla <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> 4-1s</span>?","Cuatro resultados consecutivos exceden 1 DE en el mismo lado de la media, lo que sugiere un desplazamiento persistente.",westgard qc laboratorio-clinico educacion reglas-westgard
ten-x-rule,"¿Que significa la regla <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> 10x</span>?","Diez resultados consecutivos de control caen en el mismo lado de la media, senal fuerte de sesgo sistematico.",westgard qc laboratorio-clinico educacion reglas-westgard
warning-versus-rejection,"¿Por que <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> 1-2s</span> se trata distinto de <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> 1-3s</span>?","Porque <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> 1-2s</span> es sensible pero menos especifica y obliga a revisar, mientras que <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> 1-3s</span> es mas compatible con un problema analitico real.",westgard qc laboratorio-clinico educacion toma-de-decision
same-side-shift,"Si varios resultados de control suben y permanecen sobre la media, ¿que debe sospecharse primero?","Un desplazamiento sistematico, como deriva de calibracion, cambio de lote de reactivo o ajuste del <span class=""semantic semantic-instrument""><span class=""semantic-label"">Instrumento</span> instrumento</span>.",westgard qc laboratorio-clinico educacion error-sistematico
wide-scatter,"Si una grafica muestra dispersion amplia arriba y abajo de la media sin direccion estable, ¿que tipo de error es mas probable?","Error aleatorio, sobre todo si el patron activa <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> R-4s</span> o eventos aislados de <span class=""semantic semantic-rule""><span class=""semantic-label"">Regla</span> 1-3s</span>.",westgard qc laboratorio-clinico educacion error-aleatorio
post-maintenance-review,¿Por que deben revisarse con cuidado los controles despues del mantenimiento del analizador?,Porque el mantenimiento puede cambiar la linea basal del sistema y hacer visible un nuevo sesgo o un aumento de imprecision.,westgard qc laboratorio-clinico educacion flujo-laboratorio
specimen-versus-control,"¿Por que un resultado estable de <span class=""semantic semantic-qc""><span class=""semantic-label"">Control de calidad</span> control de calidad</span> no garantiza que toda <span class=""semantic semantic-specimen""><span class=""semantic-label"">Muestra</span> muestra de paciente</span> este libre de error?","Porque el control de calidad vigila el sistema analitico, pero aun pueden existir problemas preanaliticos o propios de la muestra.",westgard qc laboratorio-clinico educacion flujo-laboratorio
reagent-lot-change,Se introduce un nuevo lote de reactivo y ambos controles se desplazan hacia arriba. ¿Que explicacion es la mas plausible?,"Un efecto sistematico relacionado con el lote. Debe verificarse la calibracion, comparar con el lote previo y considerar <span class=""semantic semantic-rejection""><span class=""semantic-label"">Rechazo</span> retener resultados</span> hasta explicar el cambio.",westgard qc laboratorio-clinico educacion flujo-laboratorio
delta-check-context,"¿Como complementan los delta checks al <span class=""semantic semantic-qc""><span class=""semantic-label"">Control de calidad</span> control de calidad</span> interno?",Ayudan a detectar cambios inesperados en datos de pacientes y agregan una comprobacion clinica que el control de calidad por si solo no aporta.,westgard qc laboratorio-clinico educacion flujo-laboratorio
multi-rule-rationale,¿Por que las reglas de Westgard suelen usarse como estrategia <em>multirregla</em>?,Porque combinarlas mejora el equilibrio entre deteccion de error y falso rechazo frente a distintos patrones de falla.,westgard qc laboratorio-clinico educacion reglas-westgard
reject-run-action,"Si se activa una regla clara de <span class=""semantic semantic-rejection""><span class=""semantic-label"">Rechazo</span> rechazo</span>, ¿cual es la accion inmediata mas segura?",<strong>No liberar</strong> los resultados afectados hasta investigar la causa y restablecer un desempeno aceptable del control.,westgard qc laboratorio-clinico educacion toma-de-decision
control-levels,¿Por que muchos laboratorios procesan mas de un nivel de control?,Porque distintos niveles pueden revelar problemas dependientes de la concentracion que no se observan con un solo nivel.,westgard qc laboratorio-clinico educacion flujo-laboratorio
manual-review-note,¿Que debe documentarse despues de un evento importante de control de calidad?,"El patron observado, la causa probable, la accion correctiva y la decision sobre repetir o retener el reporte de pacientes.",westgard qc laboratorio-clinico educacion documentacion
